iter	Passed	Remaining
0	142	142820
1	143	71581
2	143	47832
3	144	35954
4	144	28853
5	145	24096
6	145	20696
7	146	18155
8	146	16170
9	147	14586
10	147	13287
11	148	12206
12	148	11291
13	149	10505
14	149	9823
15	150	9229
16	150	8704
17	150	8235
18	151	7816
19	151	7439
20	152	7098
21	152	6788
22	153	6505
23	153	6246
24	154	6007
25	154	5786
26	154	5582
27	155	5395
28	155	5221
29	156	5056
30	156	4901
31	157	4756
32	157	4621
33	158	4492
34	158	4371
35	159	4257
36	159	4150
37	159	4048
38	160	3951
39	160	3859
40	161	3772
41	161	3690
42	162	3609
43	162	3533
44	163	3461
45	163	3391
46	164	3325
47	164	3261
48	164	3202
49	165	3143
50	165	3086
51	166	3031
52	166	2980
53	167	2929
54	167	2880
55	168	2834
56	168	2789
57	169	2745
58	169	2705
59	170	2665
60	170	2627
61	171	2590
62	171	2554
63	172	2518
64	172	2483
65	173	2450
66	173	2417
67	174	2386
68	174	2356
69	175	2327
70	175	2298
71	176	2271
72	176	2244
73	177	2218
74	177	2192
75	178	2168
76	178	2144
77	179	2120
78	179	2096
79	180	2073
80	180	2051
81	181	2030
82	181	2006
83	182	1985
84	182	1964
85	183	1945
86	183	1926
87	184	1908
88	184	1889
89	185	1871
90	185	1852
91	186	1836
92	186	1820
93	187	1803
94	187	1786
95	188	1770
96	188	1754
97	188	1738
98	189	1723
99	189	1708
100	190	1693
101	190	1678
102	191	1664
103	191	1650
104	192	1637
105	192	1623
106	192	1610
107	193	1597
108	193	1584
109	194	1572
110	194	1559
111	195	1547
112	195	1535
113	196	1523
114	196	1512
115	197	1501
116	197	1490
117	198	1480
118	198	1469
119	198	1458
120	199	1448
121	199	1437
122	200	1427
123	200	1418
124	201	1408
125	201	1398
126	202	1389
127	202	1379
128	203	1371
129	203	1362
130	203	1352
131	204	1344
132	204	1335
133	205	1326
134	205	1318
135	206	1309
136	206	1301
137	207	1293
138	207	1285
139	208	1278
140	208	1270
141	208	1262
142	209	1254
143	209	1246
144	210	1239
145	210	1232
146	211	1225
147	211	1218
148	212	1211
149	212	1204
150	213	1198
151	213	1191
152	214	1185
153	214	1178
154	214	1171
155	215	1165
156	215	1159
157	216	1152
158	216	1146
159	217	1140
160	217	1133
161	217	1127
162	218	1121
163	218	1116
164	219	1110
165	219	1104
166	220	1098
167	220	1092
168	221	1087
169	221	1081
170	222	1076
171	222	1071
172	222	1065
173	223	1060
174	223	1055
175	224	1050
176	224	1045
177	225	1040
178	225	1035
179	226	1030
180	226	1025
181	227	1020
182	227	1015
183	228	1011
184	228	1006
185	228	1001
186	229	996
187	229	992
188	230	988
189	230	983
190	231	978
191	231	974
192	232	970
193	232	965
194	232	961
195	233	957
196	233	952
197	234	948
198	234	944
199	235	940
200	235	936
201	236	932
202	236	928
203	236	924
204	237	920
205	237	916
206	238	912
207	238	908
208	239	905
209	239	901
210	240	897
211	240	893
212	240	890
213	241	886
214	241	883
215	242	879
216	242	875
217	243	872
218	243	868
219	243	865
220	244	861
221	244	858
222	245	854
223	245	851
224	246	847
225	246	844
226	247	841
227	247	837
228	247	834
229	248	831
230	248	828
231	249	824
232	249	821
233	250	818
234	250	815
235	250	812
236	251	809
237	251	806
238	252	803
239	252	800
240	253	797
241	253	794
242	254	791
243	254	788
244	254	785
245	255	782
246	255	779
247	256	777
248	256	774
249	257	771
250	257	768
251	258	765
252	258	763
253	258	760
254	259	757
255	259	754
256	260	752
257	260	749
258	261	746
259	261	744
260	261	741
261	262	738
262	262	736
263	263	733
264	263	731
265	264	728
266	264	726
267	264	723
268	265	720
269	265	718
270	266	716
271	266	713
272	267	711
273	267	708
274	267	706
275	268	703
276	268	701
277	269	699
278	269	696
279	270	694
280	270	692
281	271	690
282	271	687
283	271	685
284	272	683
285	272	681
